categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;6642;900.48;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6769;361.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6816;175.68;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;6877;228.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7042;588.56;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7081;396.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7345;264.32;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7456;356.96;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7493;297.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7555;5215.92;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7644;284.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7647;262;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;7735;166.16;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;8357;185.84;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;8429;266.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;8724;547.6;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;8743;309.2;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;8759;642.24;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;9391;232.8;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10035;262.88;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10129;214.4;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10195;492.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10195;492.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10296;224.08;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10608;1550.72;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10748;265.52;8;;10/05/2024;;;IPTU 2024;0;6;
1;1;10971;661.52;8;;10/05/2024;;;IPTU 2024;0;6;
