categoria_do_encargo;tipo_do_encargo;codigo_do_encargo;valor_total_do_carne;parcelas;taxa_de_desconto_%;vencimento_da_primeira_parcela;valor_da_primeira_parcela;codigo_de_barras;complemento_despesa;calcular_taxa_de_administracao_sobre_o_servico;conta_bancaria;
1;1;42899;85.21;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;3315;406.79;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;38521;46.26;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;12178;386.38;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32918;251.07;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;32953;28.69;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;14061;282.53;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;46111;20.3;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;46112;20.3;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;33295;265.49;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4261;534.2;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4279;25.29;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;1276;1227.36;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1290;143.25;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30645;663.74;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30677;17.84;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;21690;1330.85;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1281;1227.36;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1295;136.58;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4401;826.8;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4457;749.73;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4458;672.32;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4459;682.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4460;672.32;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4461;682.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4462;672.32;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;4463;682.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34815;604.63;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;34816;608.39;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;13389;205.59;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33162;202.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;23360;311.73;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1606;851.05;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1636;23.37;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;13749;746.71;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1690;1326.51;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;36219;125.27;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22425;978.29;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22429;479.36;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22431;479.36;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;22432;232.86;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;6642;940.2;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35252;677.99;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;18275;382.31;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;1737;602.01;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;26428;617.43;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;44160;410.42;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;33268;264.91;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30648;671.63;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;30680;17.84;1;;20/05/2025;;;IPTU 2025;0;6;
1;1;35130;658.6;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35155;656.75;8;;20/05/2025;;;IPTU 2025;0;6;
1;1;35178;19.23;1;;20/05/2025;;;IPTU 2025;0;6;
